"filename", "language", "C#", "comment", "blank", "total"
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Instantiation\IIntantiator.cs", "C#", 14, 0, 1, 15
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Instantiation\InvisibleInstantiator.cs", "C#", 43, 0, 6, 49
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Instantiation\SimplseInstantiator.cs", "C#", 29, 0, 5, 34
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Movement\Balistic Mover\BallisticMover.cs", "C#", 48, 0, 11, 59
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Movement\Balistic Mover\Spline\SimpleSpline.cs", "C#", 84, 0, 12, 96
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Movement\FlyingMovement.cs", "C#", 30, 1, 6, 37
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Visuals\PulsatingGlow.cs", "C#", 33, 0, 6, 39
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Visuals\PulsatingTransparency.cs", "C#", 35, 0, 5, 40
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Visuals\ScrollTexture.cs", "C#", 29, 0, 5, 34
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ClassDataRegistryAccessor.cs", "C#", 73, 0, 11, 84
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ClassDataRegistryBackend.cs", "C#", 143, 0, 25, 168
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ClassDataRegistryIngester.cs", "C#", 71, 32, 13, 116
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ClassDataRegistryManager.cs", "C#", 81, 0, 13, 94
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ClassDataRegistryReader.cs", "C#", 35, 0, 7, 42
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ConfigurableField.cs", "C#", 15, 0, 1, 16
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\ConfigurableFieldUtils.cs", "C#", 43, 0, 5, 48
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Cusom Exceptions\RegistryExceptions.cs", "C#", 60, 0, 12, 72
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\IConfigurable.cs", "C#", 10, 0, 1, 11
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\IRegistryAccessor.cs", "C#", 11, 0, 1, 12
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\IRegistryBackend.cs", "C#", 21, 0, 2, 23
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\IRegistryIngester.cs", "C#", 8, 0, 0, 8
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\IRegistryManager.cs", "C#", 14, 0, 1, 15
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\IRegistryValueReader.cs", "C#", 9, 0, 1, 10
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Operation Applier\BigIntApplier.cs", "C#", 29, 0, 1, 30
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Operation Applier\FloatApplier.cs", "C#", 28, 0, 1, 29
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Operation Applier\IOperationApplier.cs", "C#", 7, 0, 0, 7
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Operation Applier\IntApplier.cs", "C#", 28, 0, 1, 29
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Operation Applier\OperationApplierFactory.cs", "C#", 20, 0, 1, 21
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Operation Applier\StringApplier.cs", "C#", 23, 0, 1, 24
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\OperationTypeEnum.cs", "C#", 9, 0, 0, 9
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\Registry.cs", "C#", 26, 0, 3, 29
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\RegistryFactory.cs", "C#", 23, 0, 7, 30
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Class Data Repository\RegistrySpecificAttributes.cs", "C#", 10, 0, 2, 12
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\AndroidStreamingAssets.cs", "C#", 20, 0, 1, 21
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\GameFolders.cs", "C#", 90, 0, 11, 101
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\IGameFolders.cs", "C#", 9, 0, 1, 10
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\IStreamingAssetsReader.cs", "C#", 7, 0, 1, 8
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Non Volatile\INonVolatileStorage.cs", "C#", 9, 0, 0, 9
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Non Volatile\Infrastructure\DiskAcessor.cs", "C#", 21, 0, 4, 25
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Non Volatile\Infrastructure\IEntryAccessor.cs", "C#", 9, 0, 0, 9
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Non Volatile\JsonStorage.cs", "C#", 29, 0, 6, 35
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Serialization\IDiskSerialization.cs", "C#", 11, 0, 0, 11
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Serialization\JsonDataStorage.cs", "C#", 73, 0, 12, 85
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Serialization\WinStreamingAssets.cs", "C#", 26, 0, 1, 27
"c:\Unity\ArrowsDemo\Assets\Code\Extension Methods\BigIntegerExtensions.cs", "C#", 58, 0, 7, 65
"c:\Unity\ArrowsDemo\Assets\Code\Extension Methods\GameObjectExtensions.cs", "C#", 32, 0, 2, 34
"c:\Unity\ArrowsDemo\Assets\Code\Game Math\Counters\ExponentialCountCalculator.cs", "C#", 37, 0, 7, 44
"c:\Unity\ArrowsDemo\Assets\Code\Game Math\Counters\HalfLifeCountCalculator.cs", "C#", 38, 0, 6, 44
"c:\Unity\ArrowsDemo\Assets\Code\Game Math\Extension Methods\BigIntegerOperations.cs", "C#", 17, 0, 1, 18
"c:\Unity\ArrowsDemo\Assets\Code\Game Math\Extension Methods\RandomShuffle.cs", "C#", 18, 0, 1, 19
"c:\Unity\ArrowsDemo\Assets\Code\Game Math\MathUtils.cs", "C#", 190, 22, 31, 243
"c:\Unity\ArrowsDemo\Assets\Code\Game Math\RandomBigIntListWithSetSum.cs", "C#", 92, 0, 8, 100
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\GameState.cs", "C#", 163, 0, 22, 185
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\IStateChangeNotifier.cs", "C#", 19, 0, 4, 23
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\IStateReportableProcess.cs", "C#", 17, 0, 3, 20
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\StatesEnum.cs", "C#", 37, 0, 4, 41
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Ad\AdPlayer.cs", "C#", 24, 0, 2, 26
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Ad\AdState.cs", "C#", 36, 1, 6, 43
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\AppStateFactory.cs", "C#", 75, 3, 10, 88
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\IAppStateFactory.cs", "C#", 12, 0, 1, 13
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\IPostRun.cs", "C#", 14, 0, 1, 15
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\PostRun.cs", "C#", 39, 9, 9, 57
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\PostRunContext.cs", "C#", 16, 0, 2, 18
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\PostRunFailedRun.cs", "C#", 24, 0, 3, 27
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\PreAdTease.cs", "C#", 148, 0, 23, 171
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Post Run\RewardApplier.cs", "C#", 41, 0, 7, 48
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\PreRun.cs", "C#", 121, 0, 25, 146
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\PreRunFactory.cs", "C#", 38, 0, 4, 42
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\PreRunStates.cs", "C#", 10, 0, 0, 10
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Pre Run\PreRunUI.cs", "C#", 91, 2, 17, 110
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Runthrough\RunFinishContext.cs", "C#", 14, 0, 2, 16
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Runthrough\Runthrough.cs", "C#", 170, 0, 33, 203
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Runthrough\RunthroughContext.cs", "C#", 25, 11, 4, 40
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Runthrough\RunthroughFactory.cs", "C#", 30, 0, 4, 34
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Runthrough\RunthroughState.cs", "C#", 10, 0, 0, 10
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\States\Runthrough\RunthroughUI.cs", "C#", 100, 9, 21, 130
