"filename", "language", "C#", "Python", "JSON", "comment", "blank", "total"
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\PermanentSkinInjesterTests.cs", "C#", 1, 0, 0, 0, 0, 1
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\PermanentSkinsDatabaseTests.cs", "C#", -1, 0, 0, 0, 0, -1
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetMaker.cs", "C#", 0, 0, 0, -2, 0, -2
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\BundleProjectilePrefabGenerator.cs", "C#", 1, 0, 0, 0, 0, 1
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\EditorGameFolders.cs", "C#", -29, 0, 0, 0, -5, -34
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\GameFolders.cs", "C#", 1, 0, 0, 0, 1, 2
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Disk Access\Game Folders\IGameFolders.cs", "C#", 1, 0, 0, 0, 1, 2
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Serialization\JsonFile.cs", "C#", 83, 0, 0, 15, 11, 109
"c:\Unity\ArrowsDemo\Assets\Code\Data Management\Serialization\JsonFileOperations.cs", "C#", -74, 0, 0, 0, -7, -81
"c:\Unity\ArrowsDemo\Assets\Code\Game Math\MathUtils.cs", "C#", 82, 0, 0, 12, 20, 114
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Editor\GameBalanceWindow.cs", "C#", 52, 0, 0, 1, 11, 64
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Game Design Tests\PlaythroughSimulatorTests.cs", "C#", 59, 0, 0, 0, 12, 71
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Game Design Tests\Resources\formulaTest.json", "JSON", 0, 0, 6, 0, 0, 6
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Game Design Tests\RunSimulatorTests.cs", "C#", 85, 0, 0, 0, 14, 99
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Game Design Tests\UpgradeFormulaTests.cs", "C#", 57, 0, 0, 1, 9, 67
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\GameBalanceConfiguration.cs", "C#", 14, 0, 0, 2, 2, 18
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\OperationProbabilitiesFactory.cs", "C#", 77, 0, 0, 0, 13, 90
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\OperationValueParametersFactory.cs", "C#", 33, 0, 0, 0, 5, 38
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Resources\Game Balance\FormulaArrowLevel.json", "JSON", 0, 0, 6, 0, 0, 6
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Resources\Game Balance\FormulaCrossbowLevel.json", "JSON", 0, 0, 6, 0, 0, 6
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Resources\Game Balance\FormulaInitialArrowCount.json", "JSON", 0, 0, 6, 0, 0, 6
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Resources\Game Balance\GameBalanceConfiguration.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Reward And Price\Test.py", "Python", 0, 6, 0, 0, 3, 9
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Run Simulator\AdSelector.cs", "C#", 59, 0, 0, 0, 11, 70
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Run Simulator\Data\PlaythroughData.cs", "C#", 19, 0, 0, 0, 2, 21
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Run Simulator\Data\SimulationContext.cs", "C#", 26, 0, 0, 0, 2, 28
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Run Simulator\Data\SimulationData.cs", "C#", 23, 0, 0, 0, 2, 25
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Run Simulator\GateSelector.cs", "C#", 52, 0, 0, 0, 7, 59
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Run Simulator\PlaythroughSimulator.cs", "C#", 23, 0, 0, 0, 5, 28
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Run Simulator\RunSimulator.cs", "C#", 37, 0, 0, 0, 6, 43
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Run Simulator\SimulationSequnceContextProvider.cs", "C#", 18, 0, 0, 0, 3, 21
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game Design\Run Simulator\VirtualPlayer.cs", "C#", 99, 0, 0, 0, 21, 120
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\GameState.cs", "C#", 27, 0, 0, 0, 4, 31
"c:\Unity\ArrowsDemo\Assets\Code\Game\Game State\State Switching\IRunRestarter.cs", "C#", 11, 0, 0, 0, 1, 12
